Adapter Name,Banner,Video,Native,Audio,File Path
grid,Yes,Yes,No,No,modules/gridBidAdapter.js
growads,Yes,No,Yes,No,modules/growadsBidAdapter.js
gumgum,Yes,Yes,Yes,No,modules/gumgumBidAdapter.js
h12media,Yes,No,No,No,modules/h12mediaBidAdapter.js
holid,Yes,No,No,No,modules/holidBidAdapter.js
hybrid,Yes,Yes,No,No,modules/hybridBidAdapter.js
hypelab,Yes,No,No,No,modules/hypelabBidAdapter.js
idx,Yes,No,No,No,modules/idxBidAdapter.js
illumin,Yes,Yes,No,No,modules/illuminBidAdapter.js
impactify,Yes,Yes,No,No,modules/impactifyBidAdapter.js
improvedigital,Yes,Yes,Yes,No,modules/improvedigitalBidAdapter.js
incrementx,Yes,Yes,No,No,modules/incrementxBidAdapter.js
inmobi,Yes,Yes,Yes,No,modules/inmobiBidAdapter.js
innity,Yes,No,No,No,modules/innityBidAdapter.js
insticator,Yes,Yes,No,No,modules/insticatorBidAdapter.js
integr8,Yes,Yes,No,No,modules/integr8BidAdapter.js
intenze,Yes,Yes,Yes,No,modules/intenzeBidAdapter.js
interactiveOffers,Yes,No,No,No,modules/interactiveOffersBidAdapter.js
invamia,Yes,No,No,No,modules/invamiaBidAdapter.js
invibes,Yes,No,No,No,modules/invibesBidAdapter.js
iprom,Yes,No,No,No,modules/ipromBidAdapter.js
iqx,Yes,Yes,No,No,modules/iqxBidAdapter.js
iqzone,Yes,Yes,Yes,No,modules/iqzoneBidAdapter.js
ivs,No,Yes,No,No,modules/ivsBidAdapter.js
ix,Yes,Yes,Yes,No,modules/ixBidAdapter.js
jixie,Yes,Yes,No,No,modules/jixieBidAdapter.js
justpremium,Yes,No,No,No,modules/justpremiumBidAdapter.js
jwplayer,No,Yes,No,No,modules/jwplayerBidAdapter.js
kargo,Yes,Yes,Yes,No,modules/kargoBidAdapter.js
kimberlite,Yes,Yes,No,No,modules/kimberliteBidAdapter.js
kiviads,Yes,Yes,Yes,No,modules/kiviadsBidAdapter.js
kobler,Yes,No,No,No,modules/koblerBidAdapter.js
krushmedia,Yes,Yes,Yes,No,modules/krushmediaBidAdapter.js
kubient,Yes,Yes,No,No,modules/kubientBidAdapter.js
kueezRtb,Yes,Yes,No,No,modules/kueezRtbBidAdapter.js
lane4,Yes,No,Yes,No,modules/lane4BidAdapter.js
lasso,Yes,No,No,No,modules/lassoBidAdapter.js
lemmaDigital,Yes,Yes,No,No,modules/lemmaDigitalBidAdapter.js
lifestreet,Yes,Yes,No,No,modules/lifestreetBidAdapter.js
limelightDigital,Yes,Yes,No,No,modules/limelightDigitalBidAdapter.js
livewrapped,Yes,Yes,Yes,No,modules/livewrappedBidAdapter.js
lkqd,No,Yes,No,No,modules/lkqdBidAdapter.js
lm_kiviads,Yes,Yes,No,No,modules/lm_kiviadsBidAdapter.js
lockerdome,Yes,No,No,No,modules/lockerdomeBidAdapter.js
logan,Yes,Yes,Yes,No,modules/loganBidAdapter.js
logicad,Yes,No,Yes,No,modules/logicadBidAdapter.js
loopme,Yes,Yes,Yes,No,modules/loopmeBidAdapter.js
loyal,Yes,Yes,Yes,No,modules/loyalBidAdapter.js
lucead,Yes,No,No,No,modules/luceadBidAdapter.js
lunamediahb,Yes,Yes,Yes,No,modules/lunamediahbBidAdapter.js
luponmedia,Yes,No,No,No,modules/luponmediaBidAdapter.js
mabidder,Yes,No,No,No,modules/mabidderBidAdapter.js
madsense,Yes,Yes,No,No,modules/madsenseBidAdapter.js
madvertise,Yes,No,No,No,modules/madvertiseBidAdapter.js
malltv,Yes,Yes,No,No,modules/malltvBidAdapter.js
mantis,Yes,No,No,No,modules/mantisBidAdapter.js
marsmedia,Yes,Yes,No,No,modules/marsmediaBidAdapter.js
mathildeads,Yes,Yes,Yes,No,modules/mathildeadsBidAdapter.js
mediaConsortium,Yes,Yes,No,No,modules/mediaConsortiumBidAdapter.js
mediabrama,Yes,No,No,No,modules/mediabramaBidAdapter.js
mediaeyes,Yes,No,No,No,modules/mediaeyesBidAdapter.js
mediaforce,Yes,Yes,Yes,No,modules/mediaforceBidAdapter.js
mediafuse,Yes,Yes,Yes,No,modules/mediafuseBidAdapter.js
mediago,Yes,No,Yes,No,modules/mediagoBidAdapter.js
mediaimpact,Yes,No,No,No,modules/mediaimpactBidAdapter.js
mediakeys,Yes,Yes,Yes,No,modules/mediakeysBidAdapter.js
medianet,Yes,Yes,Yes,No,modules/medianetBidAdapter.js
mediasniper,Yes,No,No,No,modules/mediasniperBidAdapter.js
mediasquare,Yes,Yes,Yes,No,modules/mediasquareBidAdapter.js
mgid,Yes,No,Yes,No,modules/mgidBidAdapter.js
mgidX,Yes,Yes,Yes,No,modules/mgidXBidAdapter.js
microad,Yes,Yes,Yes,No,modules/microadBidAdapter.js
minutemedia,Yes,Yes,No,No,modules/minutemediaBidAdapter.js
missena,Yes,No,No,No,modules/missenaBidAdapter.js
mobfoxpb,Yes,Yes,Yes,No,modules/mobfoxpbBidAdapter.js
mobilefuse,Yes,Yes,No,No,modules/mobilefuseBidAdapter.js
mobkoi,Yes,No,No,No,modules/mobkoiBidAdapter.js
my6sense,Yes,No,Yes,No,modules/my6senseBidAdapter.js
mytarget,Yes,No,No,No,modules/mytargetBidAdapter.js
nativery,Yes,Yes,Yes,No,modules/nativeryBidAdapter.js
nativo,Yes,Yes,Yes,No,modules/nativoBidAdapter.js
newspassid,Yes,Yes,Yes,No,modules/newspassidBidAdapter.js
nextMillennium,Yes,Yes,No,No,modules/nextMillenniumBidAdapter.js
nextroll,Yes,No,Yes,No,modules/nextrollBidAdapter.js
nexverse,Yes,Yes,Yes,No,modules/nexverseBidAdapter.js
nexx360,Yes,Yes,Yes,No,modules/nexx360BidAdapter.js
nobid,Yes,Yes,No,No,modules/nobidBidAdapter.js
ogury,Yes,No,No,No,modules/oguryBidAdapter.js
omnidex,Yes,Yes,No,No,modules/omnidexBidAdapter.js
oms,Yes,Yes,No,No,modules/omsBidAdapter.js
onetag,Yes,Yes,Yes,No,modules/onetagBidAdapter.js
onomagic,Yes,No,No,No,modules/onomagicBidAdapter.js
opaMarketplace,Yes,Yes,No,No,modules/opaMarketplaceBidAdapter.js
open8,Yes,Yes,No,No,modules/open8BidAdapter.js
openweb,Yes,Yes,Yes,No,modules/openwebBidAdapter.js
openx,Yes,Yes,Yes,No,modules/openxBidAdapter.js
operaads,Yes,Yes,Yes,No,modules/operaadsBidAdapter.js
oprx,Yes,No,No,No,modules/oprxBidAdapter.js
opsco,Yes,No,No,No,modules/opscoBidAdapter.js
optable,Yes,No,No,No,modules/optableBidAdapter.js
optidigital,Yes,No,No,No,modules/optidigitalBidAdapter.js
optout,Yes,No,No,No,modules/optoutBidAdapter.js
oraki,Yes,Yes,Yes,No,modules/orakiBidAdapter.js
